# A row is an owed implementation, not an accepted deviation. Remove it only
# after the named published case passes its production-entry consumer.
family	case_id	owner	reason
manager-config-v2/schema-cases	valid-provider-directories.json	STORY-260922-1cenbr	Load rejects a valid manager-config case containing the adopted 0017/0018 configuration model.
manager-config-v2/schema-cases	valid-registry-bootstrap-members.json	STORY-260910-6bo7ej	Load rejects the valid registry bootstrap members case published by S2.
manager-config-v2/schema-cases	valid-require-source-signers.json	STORY-260916-ioemse	Load rejects the valid source_signers or require_source_signers case published by E1.
manager-config-v2/schema-cases	valid-security-posture-hardened.json	STORY-260910-2qmrb8	Load rejects the valid security_posture case published by S1/S3.
manager-config-v2/schema-cases	valid-security-posture-permissive.json	STORY-260910-2qmrb8	Load rejects the valid security_posture case published by S1/S3.
manager-config-v2/schema-cases	valid-source-signers-empty-list.json	STORY-260916-ioemse	Load rejects the valid source_signers or require_source_signers case published by E1.
manager-config-v2/schema-cases	valid-source-signers-gpg.json	STORY-260916-ioemse	Load rejects the valid source_signers or require_source_signers case published by E1.
manager-config-v2/schema-cases	valid-source-signers.json	STORY-260916-ioemse	Load rejects the valid source_signers or require_source_signers case published by E1.
manager-config-v2/schema-cases	valid-system-module-waiver.json	STORY-260922-1cenbr	Load rejects a valid manager-config case containing the adopted 0017/0018 configuration model.
manager-config-v2/schema-cases	valid.json	STORY-260922-1cenbr	Load rejects a valid manager-config case containing the adopted 0017/0018 configuration model.
manager-config-v2/vectors	schema2-empty-environments-defaults	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-every-knob	STORY-260916-ioemse	Parse rejects the source signer fields introduced by E1.
manager-config-v2/vectors	schema2-minimal-defaults	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-overlay-git-git-uppercase	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-git-http-uppercase	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-git-https-uppercase	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-git-scp	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-git-scp-no-user	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-git-single-letter-host	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-git-ssh-uppercase	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-colon-later-segment	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-relative	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-source	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-windows-backslash	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-windows-double-slash	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-windows-lowercase-drive	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-overlay-path-windows-slash	STORY-260916-ioemse	Parse accepts the overlay declaration, but EffectiveJSON omits the source_signers and require_source_signers values owned by E1.
manager-config-v2/vectors	schema2-partial-knobs-fill-defaults	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-passable-env-absent-empty	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-passable-env-explicit-empty	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-passable-env-explicit-null-unbounded	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-permissions	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-provider-directories	STORY-260922-1cenbr	EffectiveJSON differs from the updated manager-config defaults and permission interface adopted by 0017/0018.
manager-config-v2/vectors	schema2-registry-bootstrap-members	STORY-260910-6bo7ej	Parse rejects the S2 bootstrap_checkpoint/mirror_group registry members.
manager-config-v2/vectors	schema2-source-signers	STORY-260916-ioemse	Parse rejects the source signer fields introduced by E1.
marker/install-marker-v4/schema-cases	invalid-external-declared-effective-mismatch.json	BUG-260923-2afgyq	marker.Read admits unequal declared and effective external repository identities
marker/install-marker-v4/schema-cases	invalid-marker-local-identity-kind-mismatch.json	BUG-260923-2afgyq	marker.Read admits a local marker identity with the wrong repository identity kind
marker/install-marker-v4/schema-cases	invalid-marker-network-identity-kind-mismatch.json	BUG-260923-2afgyq	marker.Read admits a network marker identity with the wrong repository identity kind
marker/install-marker-v4/schema-cases	invalid-marker-sha1-effective-revision-width.json	BUG-260923-2afgyq	marker.Read admits a SHA-1 external revision with the wrong effective width
marker/install-marker-v4/schema-cases	invalid-marker-sha256-effective-revision-width.json	BUG-260923-2afgyq	marker.Read admits a SHA-256 external revision with the wrong effective width
script-host-execution-policy/executable-identity-cases	windows-exec-noncomponent-store-hardlinks	STORY-260925-1v7pvn	The production resolver accepts multiply-linked System32 targets without proving every additional link belongs to the component store.
script-host-execution-policy/executable-identity-cases	windows-exec-unowned-file-hardlinks	STORY-260925-1v7pvn	The production resolver accepts a multiply-linked file below captured SystemRoot\System32 without proving the target is platform-owned.
system-config-v2/schema-cases	invalid-transitive-system-modules-drop-direction.json	STORY-260916-ioemse	Load rejects before the E2 diagnostic because the updated system case locks source_signers from E1.
system-config-v2/schema-cases	invalid-transitive-system-modules-value.json	STORY-260916-ioemse	Load rejects before the E2 diagnostic because the updated system case locks source_signers from E1.
system-config-v2/schema-cases	valid-isolation-isolated-direction.json	STORY-260916-ioemse	Load rejects the system lock cases because source_signers locks from E1 are not supported.
system-config-v2/schema-cases	valid-isolation-shared-direction.json	STORY-260916-ioemse	Load rejects the system lock cases because source_signers locks from E1 are not supported.
system-config-v2/schema-cases	valid-security-posture-hardened-locked.json	STORY-260910-2qmrb8	Load rejects the locked hardened security_posture case published by S1/S3.
system-config-v2/schema-cases	valid.json	STORY-260916-ioemse	Load rejects the system lock cases because source_signers locks from E1 are not supported.
